model_id,direction,relative_shift_px,absolute_shift_px,agreement,is_multiple_of_16,score_definition,evidence_status,source_artifact,source_sha256,notes
models/gemini-2.0-flash,horizontal,-64,64,0.78211382113821137,true,mean_pairwise_transcription_agreement_by_relative_shift,reported_historical_aggregate,PA_DEATH/CVPR_ANALYSIS/small_shift_horizontal_signal_data.csv,e5e33c9a1b15f4eac26160d4b753f30eaa28a378a1330da74441073d8f6fc7b2,Symmetric source series; shift zero is self/identical-view agreement. Periodicity is observational and does not prove proprietary architecture.
models/gemini-2.0-flash,horizontal,-62,62,0.75650406504065049,false,mean_pairwise_transcription_agreement_by_relative_shift,reported_historical_aggregate,PA_DEATH/CVPR_ANALYSIS/small_shift_horizontal_signal_data.csv,e5e33c9a1b15f4eac26160d4b753f30eaa28a378a1330da74441073d8f6fc7b2,Symmetric source series; shift zero is self/identical-view agreement. Periodicity is observational and does not prove proprietary architecture.
models/gemini-2.0-flash,horizontal,-60,60,0.75697831978319785,false,mean_pairwise_transcription_agreement_by_relative_shift,reported_historical_aggregate,PA_DEATH/CVPR_ANALYSIS/small_shift_horizontal_signal_data.csv,e5e33c9a1b15f4eac26160d4b753f30eaa28a378a1330da74441073d8f6fc7b2,Symmetric source series; shift zero is self/identical-view agreement. Periodicity is observational and does not prove proprietary architecture.
models/gemini-2.0-flash,horizontal,-58,58,0.75350609756097553,false,mean_pairwise_transcription_agreement_by_relative_shift,reported_historical_aggregate,PA_DEATH/CVPR_ANALYSIS/small_shift_horizontal_signal_data.csv,e5e33c9a1b15f4eac26160d4b753f30eaa28a378a1330da74441073d8f6fc7b2,Symmetric source series; shift zero is self/identical-view agreement. Periodicity is observational and does not prove proprietary architecture.
models/gemini-2.0-flash,horizontal,-56,56,0.75829268292682928,false,mean_pairwise_transcription_agreement_by_relative_shift,reported_historical_aggregate,PA_DEATH/CVPR_ANALYSIS/small_shift_horizontal_signal_data.csv,e5e33c9a1b15f4eac26160d4b753f30eaa28a378a1330da74441073d8f6fc7b2,Symmetric source series; shift zero is self/identical-view agreement. Periodicity is observational and does not prove proprietary architecture.
models/gemini-2.0-flash,horizontal,-54,54,0.75948509485094851,false,mean_pairwise_transcription_agreement_by_relative_shift,reported_historical_aggregate,PA_DEATH/CVPR_ANALYSIS/small_shift_horizontal_signal_data.csv,e5e33c9a1b15f4eac26160d4b753f30eaa28a378a1330da74441073d8f6fc7b2,Symmetric source series; shift zero is self/identical-view agreement. Periodicity is observational and does not prove proprietary architecture.
models/gemini-2.0-flash,horizontal,-52,52,0.76515679442508711,false,mean_pairwise_transcription_agreement_by_relative_shift,reported_historical_aggregate,PA_DEATH/CVPR_ANALYSIS/small_shift_horizontal_signal_data.csv,e5e33c9a1b15f4eac26160d4b753f30eaa28a378a1330da74441073d8f6fc7b2,Symmetric source series; shift zero is self/identical-view agreement. Periodicity is observational and does not prove proprietary architecture.
models/gemini-2.0-flash,horizontal,-50,50,0.77032520325203246,false,mean_pairwise_transcription_agreement_by_relative_shift,reported_historical_aggregate,PA_DEATH/CVPR_ANALYSIS/small_shift_horizontal_signal_data.csv,e5e33c9a1b15f4eac26160d4b753f30eaa28a378a1330da74441073d8f6fc7b2,Symmetric source series; shift zero is self/identical-view agreement. Periodicity is observational and does not prove proprietary architecture.
models/gemini-2.0-flash,horizontal,-48,48,0.77658084914182479,true,mean_pairwise_transcription_agreement_by_relative_shift,reported_historical_aggregate,PA_DEATH/CVPR_ANALYSIS/small_shift_horizontal_signal_data.csv,e5e33c9a1b15f4eac26160d4b753f30eaa28a378a1330da74441073d8f6fc7b2,Symmetric source series; shift zero is self/identical-view agreement. Periodicity is observational and does not prove proprietary architecture.
models/gemini-2.0-flash,horizontal,-46,46,0.76859756097560972,false,mean_pairwise_transcription_agreement_by_relative_shift,reported_historical_aggregate,PA_DEATH/CVPR_ANALYSIS/small_shift_horizontal_signal_data.csv,e5e33c9a1b15f4eac26160d4b753f30eaa28a378a1330da74441073d8f6fc7b2,Symmetric source series; shift zero is self/identical-view agreement. Periodicity is observational and does not prove proprietary architecture.
