model_id,strategy,family,n_samples,error_correlation,stylized_effective_sample_size,correlation_scope,total_evaluated_fields,denominator_status,evidence_status,source_artifact,source_sha256,notes
models/gemini-2.0-flash,dont_warp_text_and_lines_d003_r30_s10_std15,grid_warp,5,0.74832358536013421,1.2520990371564509,mean_pairwise_field_error_indicator,4920,historical_warp_4920_noncanonical,reported_historical_aggregate,PA_DEATH/WARP/metrics_no_punc/ensemble_selection_analysis.tsv,3224861466c073bb8c21e5944268a910f437a178c76a335260389dc0f19eea39,"N_eff=N/(1+(N-1)rho) is stylized theoretical intuition, not a measured effective sample count."
models/gemini-2.0-flash,dont_warp_text_and_lines_d003_r30_s10_std2,grid_warp,5,0.72888772269012692,1.2769595235752031,mean_pairwise_field_error_indicator,4920,historical_warp_4920_noncanonical,reported_historical_aggregate,PA_DEATH/WARP/metrics_no_punc/ensemble_selection_analysis.tsv,3224861466c073bb8c21e5944268a910f437a178c76a335260389dc0f19eea39,"N_eff=N/(1+(N-1)rho) is stylized theoretical intuition, not a measured effective sample count."
models/gemini-2.0-flash,dont_warp_text_and_lines_d003_r30_s10_std3,grid_warp,5,0.67700992463467047,1.3484213780047911,mean_pairwise_field_error_indicator,4920,historical_warp_4920_noncanonical,reported_historical_aggregate,PA_DEATH/WARP/metrics_no_punc/ensemble_selection_analysis.tsv,3224861466c073bb8c21e5944268a910f437a178c76a335260389dc0f19eea39,"N_eff=N/(1+(N-1)rho) is stylized theoretical intuition, not a measured effective sample count."
models/gemini-2.0-flash,shift_only,pad,5,0.9673924064602234,1.0267847847306595,mean_pairwise_field_error_indicator,4920,historical_warp_4920_noncanonical,reported_historical_aggregate,PA_DEATH/WARP/metrics_no_punc/ensemble_selection_analysis.tsv,3224861466c073bb8c21e5944268a910f437a178c76a335260389dc0f19eea39,"N_eff=N/(1+(N-1)rho) is stylized theoretical intuition, not a measured effective sample count."
models/gemini-2.0-flash,warp_all_d003_r30_s10_std15,grid_warp,5,0.72454752912770459,1.2826465232730584,mean_pairwise_field_error_indicator,4920,historical_warp_4920_noncanonical,reported_historical_aggregate,PA_DEATH/WARP/metrics_no_punc/ensemble_selection_analysis.tsv,3224861466c073bb8c21e5944268a910f437a178c76a335260389dc0f19eea39,"N_eff=N/(1+(N-1)rho) is stylized theoretical intuition, not a measured effective sample count."
models/gemini-2.0-flash,warp_all_d003_r30_s10_std2,grid_warp,5,0.69582936195024858,1.3215914522071595,mean_pairwise_field_error_indicator,4920,historical_warp_4920_noncanonical,reported_historical_aggregate,PA_DEATH/WARP/metrics_no_punc/ensemble_selection_analysis.tsv,3224861466c073bb8c21e5944268a910f437a178c76a335260389dc0f19eea39,"N_eff=N/(1+(N-1)rho) is stylized theoretical intuition, not a measured effective sample count."
models/gemini-2.0-flash,warp_all_d003_r30_s10_std3,grid_warp,5,0.63326514596712224,1.4152035837792798,mean_pairwise_field_error_indicator,4920,historical_warp_4920_noncanonical,reported_historical_aggregate,PA_DEATH/WARP/metrics_no_punc/ensemble_selection_analysis.tsv,3224861466c073bb8c21e5944268a910f437a178c76a335260389dc0f19eea39,"N_eff=N/(1+(N-1)rho) is stylized theoretical intuition, not a measured effective sample count."
models/gemini-2.0-flash,warp_hw_only_dont_warp_text_and_lines_d003_r30_s10_std15,grid_warp,5,0.75547328104945988,1.24319564085812,mean_pairwise_field_error_indicator,4920,historical_warp_4920_noncanonical,reported_historical_aggregate,PA_DEATH/WARP/metrics_no_punc/ensemble_selection_analysis.tsv,3224861466c073bb8c21e5944268a910f437a178c76a335260389dc0f19eea39,"N_eff=N/(1+(N-1)rho) is stylized theoretical intuition, not a measured effective sample count."
models/gemini-2.0-flash,warp_hw_only_dont_warp_text_and_lines_d003_r30_s10_std2,grid_warp,5,0.71947053360222146,1.2893635821559495,mean_pairwise_field_error_indicator,4920,historical_warp_4920_noncanonical,reported_historical_aggregate,PA_DEATH/WARP/metrics_no_punc/ensemble_selection_analysis.tsv,3224861466c073bb8c21e5944268a910f437a178c76a335260389dc0f19eea39,"N_eff=N/(1+(N-1)rho) is stylized theoretical intuition, not a measured effective sample count."
models/gemini-2.0-flash,warp_hw_only_dont_warp_text_and_lines_d003_r30_s10_std3,grid_warp,5,0.6594524268002262,1.3744534218221178,mean_pairwise_field_error_indicator,4920,historical_warp_4920_noncanonical,reported_historical_aggregate,PA_DEATH/WARP/metrics_no_punc/ensemble_selection_analysis.tsv,3224861466c073bb8c21e5944268a910f437a178c76a335260389dc0f19eea39,"N_eff=N/(1+(N-1)rho) is stylized theoretical intuition, not a measured effective sample count."
models/gemini-2.0-flash,Grid Warp,grid_warp,10,,,,,unavailable,blocked_unavailable,chat2rec_analysis/analysis - v7/paper/transform_metrics_table.csv,1661070745d508cb396479a88239ae2905beb1b3920f6fd763309baadb28d5ce,The inspected v7 machine-readable table contains CER and field accuracy but no error-correlation value; prose regression targets are not promoted to measured rows.
models/gemini-2.0-flash,Resize,resize,10,,,,,unavailable,blocked_unavailable,chat2rec_analysis/analysis - v7/paper/transform_metrics_table.csv,1661070745d508cb396479a88239ae2905beb1b3920f6fd763309baadb28d5ce,The inspected v7 machine-readable table contains CER and field accuracy but no error-correlation value; prose regression targets are not promoted to measured rows.
